,time,mag,depth,latitude,longitude,place
6487,2024-09-01 07:38:19.790,5.3,100.08,-5.8785,149.5363,"36 km N of Kandrian, Papua New Guinea"
6539,2024-09-01 03:42:49.405,5.2,10.0,8.1824,91.7074,"Nicobar Islands, India region"
6592,2024-09-01 00:53:16.487,5.6,53.335,-57.9775,-25.7042,South Sandwich Islands region
6922,2024-08-30 21:25:34.407,5.1,10.0,5.3278,-82.5983,"296 km SW of Arenas, Panama"
7089,2024-08-30 09:32:19.040,5.6,10.0,52.6057,-33.2661,Reykjanes Ridge
7144,2024-08-30 04:24:23.183,6.0,27.858,52.9702,160.3687,"117 km E of Petropavlovsk-Kamchatsky, Russia"
7240,2024-08-29 20:19:25.769,5.4,10.0,-62.8258,-158.1953,Pacific-Antarctic Ridge
7411,2024-08-29 09:51:29.752,5.2,494.286,-24.423,-179.6205,south of the Fiji Islands
7490,2024-08-29 05:56:40.489,5.4,224.338,36.543,71.2681,"28 km WSW of Ashkāsham, Afghanistan"
7604,2024-08-28 21:57:56.843,6.1,33.882,12.998,-89.5623,"60 km SSW of La Libertad, El Salvador"
7691,2024-08-28 16:29:54.969,5.1,39.63,34.7984,24.2103,"12 km ESE of Kastrí, Greece"
7951,2024-08-27 22:43:04.267,5.1,53.382,-34.3934,179.9504,south of the Kermadec Islands
8183,2024-08-27 02:15:18.032,5.8,78.0,-7.1565,129.4461,"Kepulauan Babar, Indonesia"
8310,2024-08-26 15:49:41.750,5.1,28.58,54.5455,-159.6885,"102 km SSE of Sand Point, Alaska"
8342,2024-08-26 12:57:41.992,5.5,47.174,-8.839,110.276,"98 km S of Bambanglipuro, Indonesia"
8450,2024-08-26 05:08:44.634,5.8,10.0,7.4234,-82.2904,"88 km S of Boca Chica, Panama"
8466,2024-08-26 04:11:38.930,5.4,17.533,38.0067,-9.4651,"52 km W of Sines, Portugal"
8504,2024-08-26 00:17:04.082,5.2,35.0,1.0719,126.3816,"115 km WNW of Ternate, Indonesia"
8511,2024-08-25 23:37:58.334,5.3,100.508,-19.8502,-175.2398,"92 km W of Pangai, Tonga"
8513,2024-08-25 23:30:51.981,6.0,99.28,-19.7667,-174.9814,"65 km W of Pangai, Tonga"
8517,2024-08-25 23:29:07.570,6.9,96.0,-19.7907,-175.073,"75 km W of Pangai, Tonga"
9304,2024-08-23 05:06:48.908,5.3,13.866,52.7806,161.0518,"166 km ESE of Petropavlovsk-Kamchatsky, Russia"
9308,2024-08-23 04:48:56.886,5.4,10.0,-52.913,21.062,south of Africa
9310,2024-08-23 04:45:17.665,5.5,10.0,-52.9449,21.0125,south of Africa
9413,2024-08-22 18:42:27.392,5.1,10.0,-7.6284,125.8773,"98 km N of Manatutu, Timor Leste"
9415,2024-08-22 18:32:08.773,5.1,10.0,-3.6804,151.9429,"62 km NNW of Rabaul, Papua New Guinea"
9489,2024-08-22 11:17:10.439,5.1,99.201,-6.991,129.6463,Banda Sea
